URL: 
Timestamp: Thu Mar 14 2024 17:22:23 GMT+0000 (Greenwich Mean Time)

URL: 
Timestamp: Thu Mar 14 2024 17:27:40 GMT+0000 (Greenwich Mean Time)

URL: 
Timestamp: Thu Mar 14 2024 17:27:40 GMT+0000 (Greenwich Mean Time)

URL: 
Timestamp: Thu Mar 14 2024 17:27:48 GMT+0000 (Greenwich Mean Time)

URL: 
Timestamp: Thu Mar 14 2024 17:27:48 GMT+0000 (Greenwich Mean Time)

URL: 
Timestamp: Thu Mar 14 2024 17:28:00 GMT+0000 (Greenwich Mean Time)

URL: 
Timestamp: Thu Mar 14 2024 17:28:00 GMT+0000 (Greenwich Mean Time)

::1 - - [21/Mar/2024:13:03:04 +0000] "GET /movies HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:13:04:10 +0000] "GET /movies HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:13:07:48 +0000] "GET /movies HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:13:09:25 +0000] "GET /movies HTTP/1.1" 200 593 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:13:13:45 +0000] "GET /documentation.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:13:16:15 +0000] "GET /documentation HTTP/1.1" 404 152 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:13:16:17 +0000] "GET / HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:17:42:21 +0000] "GET /movies HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:22:12:22 +0000] "GET /movies HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
::1 - - [21/Mar/2024:22:12:29 +0000] "GET /movies HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
